jy,jm,h,bench,old_top10,old_top10_exc,old_top20,old_top20_exc,new_top10,new_top10_exc,new_top20,new_top20_exc
1399,12,3,-0.1429759470668081,-0.15514837158949168,-0.012172424522683578,-0.16653731586559584,-0.02356136879878773,-0.1948227082630769,-0.0518467611962688,-0.16090486150383715,-0.017928914437029042
1399,12,6,0.0329131540736934,0.05853494398872626,0.02562178991503286,0.04554770599806847,0.01263455192437507,0.024325070097532174,-0.008588083976161225,0.05820707436359427,0.02529392028990087
1400,1,3,0.014919825205376007,-0.008140977605921685,-0.023060802811297694,-0.022196138758717832,-0.03711596396409384,0.0007667991961255782,-0.01415302600925043,-0.022567751063597152,-0.03748757626897316
1400,1,6,0.04007403621053631,0.015137527919335581,-0.02493650829120073,-0.0656999602103513,-0.10577399642088761,-0.02703210724971916,-0.06710614346025548,-0.050232185341439084,-0.0903062215519754
1400,2,3,0.18683169444715808,0.3410923676126204,0.15426067316546233,0.2647596314504084,0.07792793700325029,0.3906060800976567,0.2037743856504986,0.29003201080451096,0.10320031635735288
1400,2,6,0.06374162047119042,0.16240560193334472,0.0986639814621543,0.09802840441446911,0.03428678394327869,0.25652939613450515,0.19278777566331473,0.11698564970042749,0.05324402922923707
1400,3,3,0.20365296116412335,0.27257857348555553,0.06892561232143218,0.2542110650537487,0.05055810388962534,0.28019472672955786,0.07654176556543452,0.26070236638463207,0.05704940522050872
1400,3,6,0.00999315617396524,0.016233566932672992,0.006240410758707753,-0.004811823448351671,-0.01480497962231691,0.05301396938236689,0.04302081320840165,0.001246041258384012,-0.008747114915581227
1400,4,3,0.017651883511733614,-0.04684055671047784,-0.06449244022221146,-0.005435982299499603,-0.02308786581123322,-0.02434760690788331,-0.041999490419616925,0.03657411542618276,0.018922231914449146
1400,4,6,-0.15622405617844534,-0.2227766704459909,-0.06655261426754555,-0.19269114932477233,-0.036467093146326984,-0.1871798208770601,-0.030955764698614746,-0.13079937022279425,0.02542468595565109
1400,5,3,-0.10324272643101465,-0.13718680072320458,-0.03394407429218993,-0.1278235469213143,-0.024580820490299665,-0.12456488618002917,-0.021322159749014524,-0.07953475248176052,0.023707973949254127
1400,5,6,-0.25449759046980314,-0.2596525461299912,-0.0051549556601880875,-0.2530192958692307,0.0014782946005724162,-0.21512064176158585,0.039376948708217285,-0.2195272121613236,0.034970378308479544
1400,6,3,-0.15040745088680868,-0.1807287073642878,-0.03032125647747913,-0.12892197492441868,0.021485475962390005,-0.13796274780070444,0.012444703086104236,-0.13546571744076968,0.014941733446038996
1400,6,6,-0.13964383365503685,-0.13307056074886936,0.006573272906167493,-0.12187107096963663,0.01777276268540022,-0.12000262789749232,0.019641205757544536,-0.12448214098512804,0.015161692669908813
1400,7,3,-0.14939574425348914,-0.05193984795948352,0.09745589629400563,-0.12893951062550874,0.020456233627980408,-0.09003250720056144,0.0593632370529277,-0.11048923520959301,0.03890650904389613
1400,7,6,0.042589330818286975,0.14942653437487582,0.10683720355658885,0.009276179044799493,-0.03331315177348748,0.06645925010101875,0.023869919282731772,0.0813877922736396,0.03879846145535262
1400,8,3,-0.16022863059705947,-0.10072771160280754,0.05950091899425193,-0.11957484120237442,0.040653789394685044,-0.10327503776693088,0.05695359283012859,-0.10065673617903026,0.05957189441802921
1400,8,6,0.17134189883769926,0.18970461142128767,0.018362712583588403,0.22942699528437274,0.05808509644667348,0.18176857518954465,0.010426676351845382,0.20766801195549212,0.03632611311779285
1400,9,3,0.013451598747422699,0.01327468960813456,-0.00017690913928813945,0.04325202709646174,0.02980042834903904,0.021044470359642797,0.007592871612220099,0.036175637798197186,0.022724039050774487
1400,9,6,0.2205937922608963,0.2138250240159016,-0.0067687682449946995,0.25373562546014145,0.03314183319924516,0.22057019819576723,-2.3594065129056707e-05,0.19047440487685466,-0.03011938738404163
1400,10,3,0.22248290216059355,0.22360847916555154,0.001125577004957995,0.2512585014240317,0.028775599263438173,0.20748334092031845,-0.0149995612402751,0.24188720769424776,0.019404305533654215
1400,10,6,0.2149463062229095,0.23883586802775897,0.02388956180484947,0.22788058866805277,0.012934282445143275,0.18043842823034412,-0.03450787799256538,0.21544282699218442,0.0004965207692749218
1400,11,3,0.40987538505247045,0.4107460747113202,0.0008706896588497326,0.35717906890961604,-0.052696316142854416,0.4107460747113203,0.0008706896588498436,0.3412526132256067,-0.06862277182686377
1400,11,6,0.25730684050305763,0.34287431036388494,0.0855674698608273,0.24819546305109386,-0.009111377451963776,0.34287431036388494,0.0855674698608273,0.23653812158415816,-0.020768718918899476
1400,12,3,0.20063412372005973,0.20901182460183892,0.008377700881779193,0.2201607269057158,0.019526603185656077,0.20901182460183892,0.008377700881779193,0.20397180384475155,0.003337680124691822
1400,12,6,0.11925325435874602,0.17470220431048983,0.055448949951743806,0.14735151871247973,0.028098264353733707,0.17470220431048983,0.055448949951743806,0.1521007183758886,0.03284746401714257
1401,1,3,-0.008548208523334058,0.0014910429337248953,0.010039251457058954,0.028403891264592463,0.03695209978792652,0.003129972125200198,0.011678180648534256,0.028403891264592463,0.03695209978792652
1401,1,6,-0.07755989473230945,-0.026715319160537432,0.05084457557177202,-0.04550251044546094,0.03205738428684851,-0.03702996138953522,0.04052993334277424,-0.04550251044546095,0.032057384286848505
1401,2,3,-0.11122784698737767,-0.032191796158997456,0.07903605082838022,-0.04958895720952823,0.06163888977784944,-0.055606649099964156,0.055621197887413515,-0.038764930469350464,0.0724629165180272
1401,2,6,-0.08360834057277557,0.02211848725179465,0.10572682782457021,-0.026671471927297852,0.056936868645477715,-0.0017611529552274629,0.0818471876175481,-0.0009685973222412659,0.0826397432505343
1401,3,3,-0.0643065923621022,-0.04241555867124125,0.021891033690860956,-0.01938706788702555,0.044919524475076654,-0.05532857714946423,0.008978015212637976,-0.0017748105293029337,0.06253178183279927
1401,3,6,0.07310414759982357,0.19067087280208145,0.11756672520225787,0.13442240826321353,0.061318260663389954,0.1670457657433487,0.09394161814352513,0.16264903476242756,0.08954488716260399
1401,4,3,-0.061917113223598795,0.011158939197998851,0.07307605242159765,-0.01393969913659036,0.04797741408700844,-0.0019951431542228337,0.05992197006937596,-0.005469986474553812,0.056447126749044986
1401,4,6,0.33633898612990437,0.40796566316433813,0.07162667703443376,0.3929258565714392,0.05658687044153482,0.347721540668754,0.01138255453884962,0.39269766485956403,0.05635867872965966
1401,5,3,0.027889026325730478,0.10521207172005342,0.07732304539432294,0.08689218352396946,0.05900315719823898,0.11270495028547663,0.08481592395974615,0.08671656721279644,0.05882754088706596
1401,5,6,0.22569041801459516,0.27598497917351583,0.05029456115892067,0.3207431773993295,0.09505275938473434,0.27734150265856394,0.05165108464396878,0.30847047589184085,0.08278005787724568
1401,6,3,0.14692435631275508,0.1844302292711837,0.03750587295842861,0.21600922159056157,0.0690848652778065,0.1789360742027417,0.032011717889986635,0.19647235667756308,0.049548000364808
1401,6,6,0.5630173077226801,0.5640543136119497,0.0010370058892695821,0.7356427239248658,0.17262541620218574,0.6240862450522165,0.061068937329536443,0.6571567655927819,0.0941394578701018
1401,7,3,0.42946893674809333,0.3629936434022604,-0.06647529334583291,0.4335798036211477,0.004110866873054342,0.31094881596578505,-0.11852012078230828,0.4335798036211476,0.004110866873054286
1401,7,6,1.0685050222182808,0.9193712423257058,-0.14913377989257504,1.1134390587423595,0.04493403652407868,0.8394392571839718,-0.22906576503430898,1.1134390587423597,0.0449340365240789
1401,8,3,0.2026236318344513,0.12795571371829517,-0.07466791811615614,0.16916447923211572,-0.03345915260233559,0.08518651730404511,-0.1174371145304062,0.22021674279429132,0.017593110959840008
1401,8,6,0.9257488156475462,0.6558693212590737,-0.2698794943884725,0.8487934094151312,-0.07695540623241504,0.6060140882802093,-0.3197347273673369,0.907468911436806,-0.018279904210740217
1401,9,3,0.36306615490142224,0.32743191138981204,-0.03563424351161021,0.3350797839957626,-0.02798637090565964,0.3654080778732635,0.0023419229718412704,0.3518439497321779,-0.011222205169244326
1401,9,6,0.6548548189780334,0.6696765239478104,0.014821704969776972,0.636077561622512,-0.018777257355521382,0.6739877660167206,0.019132947038687176,0.6640265538411368,0.009171734863103409
1401,10,3,0.4511567594969361,0.45406197731174947,0.0029052178148133434,0.45720567235723336,0.00604891286029724,0.48012185865950785,0.028965099162571728,0.4698629561940055,0.018706196697069355
1401,10,6,0.31949867613750854,0.30400340366148476,-0.01549527247602378,0.3731322778748957,0.05363360173738718,0.39251451977563734,0.0730158436381288,0.36191548541367896,0.04241680927617042
1401,11,3,0.6132628826730868,0.5673431625655863,-0.04591972010750056,0.502135037133237,-0.11112784553984978,0.5441173940099511,-0.06914548866313575,0.5577166735854412,-0.055546209087645626
1401,11,6,0.3692241138040362,0.2707524435290421,-0.0984716702749941,0.32568182160602044,-0.04354229219801575,0.23492103879994897,-0.13430307500408722,0.4002478611054544,0.031023747301418214
1401,12,3,0.2261404083339129,0.14309090609393788,-0.08304950223997504,0.19433932447924868,-0.031801083854664236,0.21413110345477726,-0.012009304879135652,0.22931273241525027,0.0031723240813373577
1401,12,6,0.19005430584880506,0.007596475803745895,-0.18245783004505917,0.16159534138057657,-0.028458964468228487,0.15833228172139083,-0.03172202412741423,0.2310115861034887,0.04095728025468365
1402,1,3,-0.0914008376942218,-0.16938541358066567,-0.07798457588644386,-0.09926109869106713,-0.007860260996845322,-0.10708687033536264,-0.015686032641140837,-0.08201466680945965,0.009386170884762152
