jy,jm,h,bench,score_v1_top5,score_v1_top5_exc,score_v2_top5,score_v2_top5_exc
1399,1,3,1.3509493900570817,0.5153140253500521,-0.8356353647070296,1.4274968839625377,0.07654749390545601
1399,1,6,0.8636319227494456,0.2885427733187532,-0.5750891494306923,0.7931794993523146,-0.07045242339713098
1399,2,3,0.545196468241027,0.6547928649532991,0.10959639671227217,0.6547928649532991,0.10959639671227217
1399,2,6,0.2727506373633524,0.3030667815491149,0.030316144185762506,0.3030667815491149,0.030316144185762506
1399,3,3,-0.034337507369496735,-0.07472456191602181,-0.040387054546525074,-0.07472456191602181,-0.040387054546525074
1399,3,6,0.1085507042632023,0.13417145964098257,0.02562075537778026,0.13417145964098257,0.02562075537778026
1399,4,3,-0.17524388312213454,-0.2415775759476788,-0.06633369282554427,-0.2415775759476788,-0.06633369282554427
1399,4,6,-0.0778499598367855,-0.11883894621755034,-0.04098898638076484,-0.11883894621755034,-0.04098898638076484
1399,5,3,-0.1445227493026636,-0.19828763435872704,-0.053764885056063444,-0.19828763435872704,-0.053764885056063444
1399,5,6,-0.14990288142499333,-0.2053024521233997,-0.05539957069840637,-0.2053024521233997,-0.05539957069840637
1399,6,3,0.2881225434448385,0.37780446840174886,0.08968192495691035,0.37780446840174886,0.08968192495691035
1399,6,6,-0.0025083298936746843,0.003927803170652666,0.006436133064327351,0.003927803170652666,0.006436133064327351
1399,7,3,0.18065409314176903,0.22185737553823884,0.04120328239646981,0.22185737553823884,0.04120328239646981
1399,8,3,0.009494000115290209,-0.006913323445611841,-0.01640732356090205,-0.006913323445611841,-0.01640732356090205
1399,8,6,-0.1484700286078603,-0.17925892484038117,-0.030788896232520874,-0.17925892484038117,-0.030788896232520874
1399,9,3,-0.19246745360772785,-0.25457729829868236,-0.06210984469095451,-0.25457729829868236,-0.06210984469095451
1399,9,6,-0.4179411528996288,-0.4127273001462212,0.005213852753407577,-0.4127273001462212,0.005213852753407577
1399,10,3,-0.21099493349818252,-0.20935830375946285,0.0016366297387196693,-0.20935830375946285,0.0016366297387196693
1399,10,6,-0.20507570805602784,-0.16828263048915115,0.03679307756687669,-0.16828263048915115,0.03679307756687669
1399,11,3,-0.1623177579001707,-0.17783778788552043,-0.015520029985349737,-0.17783778788552043,-0.015520029985349737
1399,11,6,-0.11430774386830506,-0.0743785949675474,0.03992914890075766,-0.0743785949675474,0.03992914890075766
1399,12,3,-0.22640903605992682,-0.21497943387593904,0.01142960218398778,-0.21497943387593904,0.01142960218398778
1399,12,6,-0.10037043519812716,-0.039236468546477485,0.06113396665164968,-0.039236468546477485,0.06113396665164968
1400,1,3,-0.014638981541416074,0.02594199408012534,0.040580975621541414,0.02594199408012534,0.040580975621541414
1400,1,6,-0.2121640067438638,-0.16863189581193486,0.043532110931928936,-0.16863189581193486,0.043532110931928936
1400,2,3,0.057452823577238375,0.08205814239104667,0.024605318813808293,0.08205814239104667,0.024605318813808293
1400,2,6,-0.2107166995010404,-0.18564692464715016,0.025069774853890253,-0.18564692464715016,0.025069774853890253
1400,3,3,0.16522262851153324,0.21510322447251623,0.04988059596098299,0.21510322447251623,0.04988059596098299
1400,3,6,-0.19873807602638704,-0.20575152294936014,-0.007013446922973093,-0.20575152294936014,-0.007013446922973093
1400,4,3,-0.13937868417074417,-0.0681427954256705,0.07123588874507367,-0.0681427954256705,0.07123588874507367
