jy,jm,cid,symbol,sg12,sg3,rg,opg,npg,om,nm,mt,ic,eq,pe,ps,liq,stability,vol,mom,growth_s,prof_s,val_s,mkt_s,dq,score,ttm_np,pe_invalid,fwd3,fwd6,fwd12
1399,12,07589f30e28ffd0a131f9c4157417d59,قنیشا,,7.253615293664595,,,,,,,,,10.179487179487179,,0.0,0.4756828660735093,2.0392704083503155,-5.092039206311261,11.236363636363636,6.5,0.7894736842105265,6.681818181818182,0.69,17.393282296650714,105300000.0,False,-0.13400503778337503,-0.3488664987405542,-0.4695214105793456
1399,12,0d19caedc1f47bfbce6949cc9fd54846,کفرا,,50.50778062951915,,,,,,,,,1.67831873485291,,0.0,0.7049317193936377,2.1980728338120854,1.240181893344361,13.236363636363636,6.5,5.526315789473683,7.9772727272727275,0.69,22.93556698564593,1167358714.0,False,-0.26814176748877694,-0.12651570628346331,-0.3830739113988464
1399,12,100d9b545dbca1cb4b62ecc648741665,کلوند,,-6.532337476723027,,,,,,,,,1.1065332548557976,,0.0,0.7428402160625307,1.659004057901827,0.8042895442359255,10.418181818181818,6.5,6.842105263157895,9.204545454545455,0.69,22.74573444976076,679600000.0,False,0.018971200330911486,0.3286232258731685,0.21460406918125163
1399,12,1025955b553ca1fa9153eea469591cb1,پرداخت,,1.9569016660108796,,,,,,,,,3.2379679144385025,,0.0,0.9320127990615904,1.2652496188173044,-14.40831987075929,11.145454545454545,6.5,2.6315789473684212,9.068181818181818,0.69,20.248198564593302,3796100000.0,False,-0.17693848647342092,-0.4028291942408099,-0.2840825888259936
1399,12,162bcc9b9c97c9f3510c1bd06b5ae8c0,غفارس,,-54.46391206328636,,,,,,,,,,,0.0,-0.04658556215383158,3.1072285065745766,40.0,9.690909090909091,6.5,0.0,6.409090909090909,0.69,15.594,99975090.0,True,-0.14985649856498595,-0.4280442804428046,-0.7632226322263223
1399,12,1b64f3e77238bc8dc5e3277587374ecf,ساروم,,-33.898156308574045,,,,,,,,,5.405155054369714,,0.0,0.7169594763053048,2.4896995594823443,23.139737590604636,9.781818181818181,6.5,1.842105263157895,8.863636363636363,0.69,18.621416267942582,1738100000.0,False,-0.006851559373152072,0.41821477892901004,0.28883378155303174
1399,12,1e14ece10fa50f96266e53a6d2ce83a1,سفانو,,42.400395059946746,,,,,,,,,1.9635695187165776,,0.0,0.6813386299889062,3.069630814508372,8.075791022810886,12.963636363636363,6.5,5.0,7.090909090909091,0.69,21.77263636363636,1496000000.0,False,-0.4108936170212767,-0.37600000000000033,-0.29804255319148965
1399,12,2c7e998dc9b612c1fd643b991c0dc3cc,غشصفا,,12.131053544609372,,,,,,,,,11.571843276494985,,0.0,0.7640426146192215,1.7277123347391514,-5.362170463271054,11.418181818181818,6.5,0.5263157894736847,8.795454545454545,0.69,18.79556698564593,534131750.0,False,-0.06815415821501014,0.0440838404327244,-0.24922244759973033
1399,12,2dc3ef3ab0a0505e8859b5400fc35e95,شکربن,,54.40761487338812,,,,,,,,,0.35300555453027194,,0.0,0.5040247313372345,2.6173149746641786,-5.308219178082196,13.327272727272726,6.5,9.210526315789473,5.386363636363637,0.69,23.752672248803822,1174910691.0,False,-0.1482820976491861,0.47739602169981965,-0.11512959614225338
1399,12,2fe468d2d5a13b43ee3bc672d1fc2c6c,تایرا,,60.30242812340927,,,,,,,,,0.29097070927136287,,0.0,0.5521242882775257,2.0947760805134013,0.41771094402673903,13.418181818181818,6.5,9.473684210526317,7.09090909090909,0.69,25.173114832535887,13219200000.0,False,-0.20549084858569022,0.02329450915141429,-0.4908485856905158
