jy,jm,h,n,bench,top10,top10_excess,top20,top20_excess
1401,9,6,128,0.6548548189780334,0.6696765239478104,0.014821704969776972,0.636077561622512,-0.018777257355521382
1401,9,12,128,0.665473092078495,0.455608068056094,-0.20986502402240104,0.4829540453962438,-0.18251904668225122
1401,10,3,129,0.4511567594969361,0.45406197731174947,0.0029052178148133434,0.45720567235723336,0.00604891286029724
1401,10,6,129,0.31949867613750854,0.30400340366148476,-0.01549527247602378,0.3731322778748957,0.05363360173738718
1401,10,12,129,0.3788190322192511,0.19720405651714934,-0.18161497570210178,0.3823234049959969,0.0035043727767457566
1401,11,3,131,0.6132628826730868,0.5673431625655863,-0.04591972010750056,0.502135037133237,-0.11112784553984978
1401,11,6,131,0.3692241138040362,0.2707524435290421,-0.0984716702749941,0.32568182160602044,-0.04354229219801575
1401,11,12,131,0.5047197881037909,0.3373545556337342,-0.16736523247005675,0.450619538981913,-0.05410024912187794
1401,12,3,134,0.2261404083339129,0.14309090609393788,-0.08304950223997504,0.19433932447924868,-0.031801083854664236
1401,12,6,134,0.19005430584880506,0.007596475803745895,-0.18245783004505917,0.16159534138057657,-0.028458964468228487
1401,12,12,134,0.24399798333646242,0.006943467687026861,-0.23705451564943555,0.2529300614555476,0.008932078119085168
1402,1,3,136,-0.0914008376942218,-0.16938541358066567,-0.07798457588644386,-0.09926109869106713,-0.007860260996845322
1402,1,6,136,-0.10648993490915491,-0.19570407317586186,-0.08921413826670695,-0.13041226698985847,-0.02392233208070356
1402,1,12,136,-0.04164257402875399,-0.1611874782759412,-0.11954490424718722,-0.06632103767912978,-0.024678463650375793
1402,2,3,136,-0.14346415053235728,-0.17001790048139206,-0.026553749949034783,-0.1642362282200996,-0.020772077687742307
1402,2,6,136,-0.10822136099419759,-0.1312895867293192,-0.023068225735121614,-0.11176838650712981,-0.00354702551293222
1402,2,12,136,-0.09512114861457072,-0.10856963988993087,-0.013448491275360158,-0.09393076280827799,0.0011903858062927292
1402,3,3,137,-0.024859917392906716,-0.07177300154431951,-0.04691308415141279,-0.06741914420600745,-0.04255922681310073
1402,3,6,137,0.007884360495084335,-0.032715635463742176,-0.04059999595882651,-0.03185505256670819,-0.039739413061792524
1402,3,12,137,-0.08354702130642565,-0.15152526869714877,-0.06797824739072313,-0.14519992534855083,-0.06165290404212519
1402,4,3,137,-0.017693474101741373,-0.060593294611338236,-0.04289982050959686,-0.015125286068212295,0.002568188033529078
1402,4,6,137,0.04190863950182263,0.04765961551751709,0.0057509760156944575,0.07223341211970885,0.03032477261788622
1402,4,12,137,0.04299422456781595,0.015071440426901828,-0.027922784140914123,0.051717055471776775,0.008722830903960824
